"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Test Header","","","0","0","28","0","0"
"The Contacts Page","","","0","0","11","0","0"
"The Exercises 'Similar phrases' Page on the 'ru' local","","","0","0","9","0","0"
"Main Page.","","","0","0","11","1","0"
"Description Page.","","","0","0","8","0","0"
"Test Footer","","","0","0","11","0","0"
"Test Authorized User Page","","","0","0","2","0","0"
"The Contributors Page","","","1","0","11","0","0"
"The Groups Page","","","0","0","19","0","0"
"The Exercises 'Words' Page on the 'ru' local","","","0","0","17","0","0"
"Login Page.","","","0","0","1","0","0"
