"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Test Header","","","0","0","12","16","0"
"Test Registration Page","","","0","1","8","0","0"
"The Contributors Page","","","1","10","1","0","0"
"Test Used Resources Page","","","0","0","10","0","0"
"The Start Unauthorized Page","","","0","0","12","0","0"
"The Contacts Page","","","0","0","11","0","0"
"Test Footer","","","0","0","10","1","0"
"Test Specialists Page","","","4","8","1","0","0"
"Description Page.","","","0","2","6","0","0"
"Test Authorized User Page","","","0","0","2","0","0"
"Main Page.","","","0","2","8","0","0"
"Login Page.","","","0","1","0","0","0"
"Speech exercises.","","","0","0","0","13","0"
"The Groups Page","","","0","0","0","1","0"
"Test Profile Page","","","0","1","0","0","0"
