"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 04 16:45:58 GMT 2024","Wed Sep 04 16:45:58 GMT 2024","246","tests","footer_test","TestFooter","","","Verify composition and visibility of elements on the 1st-7th levels of nesting in the Footer",""
"passed","Wed Sep 04 16:44:06 GMT 2024","Wed Sep 04 16:44:07 GMT 2024","853","tests","contacts_page_test","TestContactsPage","","","Verify presence, visibility, clickability, href, prefix, status code of links in the section 2",""
"passed","Wed Sep 04 16:56:30 GMT 2024","Wed Sep 04 16:56:32 GMT 2024","1890","tests","Statistic.","TestCardsRU","","","Check statistic table.",""
"passed","Wed Sep 04 16:50:43 GMT 2024","Wed Sep 04 16:50:43 GMT 2024","44","tests","specialists_page_test","TestSpecialistsPage","","","Verify text in the 'All Specialists' link",""
"passed","Wed Sep 04 16:56:39 GMT 2024","Wed Sep 04 16:56:40 GMT 2024","805","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence and visibility of content on the page",""
"passed","Wed Sep 04 16:54:08 GMT 2024","Wed Sep 04 16:54:20 GMT 2024","11401","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Предложения"" group and compare UI vs BACKEND data.",""
"passed","Wed Sep 04 16:48:11 GMT 2024","Wed Sep 04 16:48:12 GMT 2024","188","tests","main_page_test","TestMainPage","","","Verify redirection to contacts page not authorized user.",""
"passed","Wed Sep 04 16:47:21 GMT 2024","Wed Sep 04 16:47:21 GMT 2024","111","tests","header_test","TestHeaderPage","","","Verify that the 'Logo' link on the Start Unauthorized Page 
                             doesn't refresh the current page or lead to other pages after clicking",""
"passed","Wed Sep 04 16:45:03 GMT 2024","Wed Sep 04 16:45:03 GMT 2024","561","tests","contributors_page_test","TestContributorsPage","","","Verify href, status code of the 'All Team' link",""
"passed","Wed Sep 04 16:57:47 GMT 2024","Wed Sep 04 16:57:48 GMT 2024","826","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify sizes of icons in sections",""
"passed","Wed Sep 04 16:51:08 GMT 2024","Wed Sep 04 16:51:08 GMT 2024","110","tests","specialists_page_test","TestSpecialistsPage","","","Verify attributes of images in specialist cards in the grid",""
"passed","Wed Sep 04 16:48:37 GMT 2024","Wed Sep 04 16:48:37 GMT 2024","111","tests","main_page_test","TestMainPage","","","Checking the clickability of the Registration button.",""
"passed","Wed Sep 04 16:44:42 GMT 2024","Wed Sep 04 16:44:42 GMT 2024","77","tests","contributors_page_test","TestContributorsPage","","","Verify values of title and subtitles with tags h2, h3 on the page",""
"passed","Wed Sep 04 16:44:54 GMT 2024","Wed Sep 04 16:44:55 GMT 2024","426","tests","contributors_page_test","TestContributorsPage","","","Verify text in card links and the 'All Team' link",""
"passed","Wed Sep 04 16:47:30 GMT 2024","Wed Sep 04 16:47:40 GMT 2024","9381","tests","header_test","TestHeaderPage","","","Verify if links in the Header lead to correct pages after click",""
"passed","Wed Sep 04 16:45:40 GMT 2024","Wed Sep 04 16:45:42 GMT 2024","1922","tests","description_page_test","TestDescriptionPage","","","Verify redirection to github not authorized user.",""
"passed","Wed Sep 04 16:51:37 GMT 2024","Wed Sep 04 16:51:37 GMT 2024","13","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify value of the title of the tab",""
"passed","Wed Sep 04 16:46:20 GMT 2024","Wed Sep 04 16:46:29 GMT 2024","8678","tests","footer_test","TestFooter","","","Verify that links in the Footer lead to correct pages after clicking",""
"passed","Wed Sep 04 16:51:44 GMT 2024","Wed Sep 04 16:51:44 GMT 2024","86","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify content of the text in sections 1, 2",""
"passed","Wed Sep 04 16:43:21 GMT 2024","Wed Sep 04 16:43:22 GMT 2024","925","tests","authorisation_page_test","TestAuthorizedUserPage","","","Checking the possibility of authorization with incorrect data",""
"passed","Wed Sep 04 16:43:57 GMT 2024","Wed Sep 04 16:43:57 GMT 2024","31","tests","contacts_page_test","TestContactsPage","","","Verify content of the text in the section 2",""
"passed","Wed Sep 04 16:44:59 GMT 2024","Wed Sep 04 16:44:59 GMT 2024","693","tests","contributors_page_test","TestContributorsPage","","","Verify clickability, href of links on the page",""
"passed","Wed Sep 04 16:57:22 GMT 2024","Wed Sep 04 16:57:24 GMT 2024","2342","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility, clickability, href, status code of links in sections",""
"passed","Wed Sep 04 16:51:00 GMT 2024","Wed Sep 04 16:51:03 GMT 2024","2540","tests","specialists_page_test","TestSpecialistsPage","","","Verify that the 'All Specialists' link leads an authorized user 
                         to the correct page after clicking",""
"passed","Wed Sep 04 16:43:47 GMT 2024","Wed Sep 04 16:43:47 GMT 2024","12","tests","contacts_page_test","TestContactsPage","","","Verify value of the title of the tab",""
"passed","Wed Sep 04 16:51:56 GMT 2024","Wed Sep 04 16:51:56 GMT 2024","129","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify that the 'Login' link leads to the correct page after clicking",""
"passed","Wed Sep 04 16:45:21 GMT 2024","Wed Sep 04 16:45:22 GMT 2024","1229","tests","description_page_test","TestDescriptionPage","","","Verify redirection to telegram page not authorized user.",""
"passed","Wed Sep 04 16:52:10 GMT 2024","Wed Sep 04 16:52:20 GMT 2024","10049","tests","Speech exercises EN.","TestCardsEN","","","Select random card from ""Word"" group and compare UI vs BACKEND data",""
"passed","Wed Sep 04 16:48:33 GMT 2024","Wed Sep 04 16:48:33 GMT 2024","85","tests","main_page_test","TestMainPage","","","Checking the clickability of the Start button.",""
