"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15563","Change the password by receiving an email link","tests","Tue Mar 10 10:24:45 UTC 2026","passed","Tue Mar 10 10:25:00 UTC 2026","TestProfilePage","profile_page_test","",""
"","38","Verify content of the text on the page","tests","Tue Mar 10 10:31:40 UTC 2026","passed","Tue Mar 10 10:31:40 UTC 2026","TestURPage","used_resources_page_test","",""
"","1245","Verify if breadcrumbs links lead to correct pages after clicking","tests","Tue Mar 10 10:15:00 UTC 2026","passed","Tue Mar 10 10:15:02 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","1666","Checking the possibility of authorization with the correct data","tests","Tue Mar 10 10:11:17 UTC 2026","passed","Tue Mar 10 10:11:18 UTC 2026","TestAuthorizedUserPage","authorisation_page_test","",""
"","2797","Verify presence, visibility of titles/subtitles, cards, descriptions, links, images on the page","tests","Tue Mar 10 10:12:14 UTC 2026","passed","Tue Mar 10 10:12:17 UTC 2026","TestContributorsPage","contributors_page_test","",""
"","32","Verify presence and visibility of content on the page","tests","Tue Mar 10 10:26:38 UTC 2026","passed","Tue Mar 10 10:26:38 UTC 2026","TestSpecialistsPage","specialists_page_test","",""
"","132","Checking the clickability of the Registration button.","tests","Tue Mar 10 10:24:41 UTC 2026","passed","Tue Mar 10 10:24:41 UTC 2026","TestMainPage","main_page_test","",""
"","952","Verify presence, visibility of the title, text, link, grid, cards and images  
        on the 2nd, 3rd, 5th, 6th levels of nesting on the page","tests","Tue Mar 10 10:26:46 UTC 2026","passed","Tue Mar 10 10:26:47 UTC 2026","TestSpecialistsPage","specialists_page_test","",""
"","10792","Check registration with new email","tests","Tue Mar 10 10:25:03 UTC 2026","broken","Tue Mar 10 10:25:14 UTC 2026","TestRegistrationPage","registration_page_test","",""
"","145","Verify sizes of background-images in links on the page","tests","Tue Mar 10 10:15:45 UTC 2026","passed","Tue Mar 10 10:15:45 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","1050","Verify clickability, href, status code of links in breadcrumbs on the page","tests","Tue Mar 10 10:17:39 UTC 2026","passed","Tue Mar 10 10:17:40 UTC 2026","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","23","Verify attribute 'alt' of images in links on the 'ru' local","tests","Tue Mar 10 10:21:46 UTC 2026","passed","Tue Mar 10 10:21:46 UTC 2026","TestGroupsPage","groups_page_test","",""
"","44","Verify presence, visibility and attributes of the image in the Logo link in the Header 
               for an authorized user","tests","Tue Mar 10 10:23:49 UTC 2026","passed","Tue Mar 10 10:23:49 UTC 2026","TestHeaderPage","header_test","",""
"","149","Verify that the 'Logo' link on the Start Unauthorized Page 
                             doesn't refresh the current page or lead to other pages after clicking","tests","Tue Mar 10 10:22:29 UTC 2026","passed","Tue Mar 10 10:22:29 UTC 2026","TestHeaderPage","header_test","",""
"","2293","Verify clickability, href, prefix and subject, status code of links in the Footer","tests","Tue Mar 10 10:19:30 UTC 2026","passed","Tue Mar 10 10:19:32 UTC 2026","TestFooter","footer_test","",""
"","488","Checking the domain is available","tests","Tue Mar 10 10:24:41 UTC 2026","passed","Tue Mar 10 10:24:42 UTC 2026","TestMainPage","main_page_test","",""
"","713","Verify redirection to contributors page not authorized user.","tests","Tue Mar 10 10:13:13 UTC 2026","passed","Tue Mar 10 10:13:14 UTC 2026","TestDescriptionPage","description_page_test","",""
"","935","Verify attribute values of images in contributors cards in grids","tests","Tue Mar 10 10:12:42 UTC 2026","passed","Tue Mar 10 10:12:43 UTC 2026","TestContributorsPage","contributors_page_test","",""
"","1196","Verify redirection to telegram page not authorized user.","tests","Tue Mar 10 10:24:12 UTC 2026","passed","Tue Mar 10 10:24:13 UTC 2026","TestMainPage","main_page_test","",""
"","2050","Verify redirection to github not authorized user.","tests","Tue Mar 10 10:24:27 UTC 2026","passed","Tue Mar 10 10:24:29 UTC 2026","TestMainPage","main_page_test","",""
"","14","Verify value of the title of the tab","tests","Tue Mar 10 10:11:38 UTC 2026","passed","Tue Mar 10 10:11:38 UTC 2026","TestContactsPage","contacts_page_test","",""
"","200","Verify redirection to contacts page not authorized user.","tests","Tue Mar 10 10:24:20 UTC 2026","passed","Tue Mar 10 10:24:20 UTC 2026","TestMainPage","main_page_test","",""
