"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 25 01:31:53 GMT 2025","Fri Apr 25 01:31:54 GMT 2025","1390","tests","used_resources_page_test","TestURPage","","","Verify presence, visibility, clickability, href, status code of links in sections",""
"passed","Fri Apr 25 01:07:43 GMT 2025","Fri Apr 25 01:07:43 GMT 2025","115","tests","exercises_ru_similar_phrases_page_test","TestExercisesRuSimilarPhrasesPage","","","Verify text in group links on the page",""
"passed","Fri Apr 25 01:23:38 GMT 2025","Fri Apr 25 01:23:39 GMT 2025","743","tests","registration_page_test","TestRegistrationPage","","","Check registration without choosing gender",""
"passed","Fri Apr 25 01:15:18 GMT 2025","Fri Apr 25 01:15:18 GMT 2025","76","tests","footer_test","TestFooter","","","Verify attributes of images in links in the Footer",""
"passed","Fri Apr 25 01:15:22 GMT 2025","Fri Apr 25 01:15:22 GMT 2025","137","tests","footer_test","TestFooter","","","Verify sizes of images in links in the Footer",""
"passed","Fri Apr 25 01:23:00 GMT 2025","Fri Apr 25 01:23:06 GMT 2025","5731","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email",""
"passed","Fri Apr 25 01:25:51 GMT 2025","Fri Apr 25 01:25:51 GMT 2025","41","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify text in the 'Login' link in the section 1",""
"passed","Fri Apr 25 01:03:25 GMT 2025","Fri Apr 25 01:03:25 GMT 2025","27","tests","contacts_page_test","TestContactsPage","","","Verify presence and visibility of content on the page",""
"passed","Fri Apr 25 01:08:14 GMT 2025","Fri Apr 25 01:08:14 GMT 2025","240","tests","exercises_ru_similar_phrases_page_test","TestExercisesRuSimilarPhrasesPage","","","Verify clickability, titles, attributes of group links on the page",""
"skipped","Fri Apr 25 01:30:57 GMT 2025","Fri Apr 25 01:31:17 GMT 2025","20580","tests","Statistic.","TestCardsRU","","","Check statistic table.",""
"passed","Fri Apr 25 01:21:27 GMT 2025","Fri Apr 25 01:21:28 GMT 2025","405","tests","header_test","TestHeaderPage","","","Verify user logout after clicking the 'Logout' button in the Header for an authorized user",""
"passed","Fri Apr 25 01:25:00 GMT 2025","Fri Apr 25 01:25:01 GMT 2025","635","tests","specialists_page_test","TestSpecialistsPage","","","Verify that the 'All Specialists' link leads an unauthorized user 
                         to the correct page after clicking",""
"passed","Fri Apr 25 01:25:47 GMT 2025","Fri Apr 25 01:25:47 GMT 2025","97","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify content of the text in sections 1, 2",""
"passed","Fri Apr 25 01:12:21 GMT 2025","Fri Apr 25 01:12:22 GMT 2025","255","tests","footer_test","TestFooter","","","Verify composition and visibility of elements on the 1st-7th levels of nesting in the Footer",""
"skipped","Fri Apr 25 01:30:30 GMT 2025","Fri Apr 25 01:30:51 GMT 2025","20652","tests","Речевые упражнения.","TestCardsRU","","","Solutions to a random task in the ""Слова"" group and comparison of statics.",""
"passed","Fri Apr 25 01:19:08 GMT 2025","Fri Apr 25 01:19:13 GMT 2025","4904","tests","header_test","TestHeaderPage","","","Verify if internal links in the Header for an unauthorized user 
            lead to correct pages after click",""
"passed","Fri Apr 25 01:08:24 GMT 2025","Fri Apr 25 01:08:24 GMT 2025","110","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify presence and visibility of content on the page",""
"passed","Fri Apr 25 01:04:43 GMT 2025","Fri Apr 25 01:04:44 GMT 2025","55","tests","contributors_page_test","TestContributorsPage","","","Verify values of title and subtitles with tags h2, h3 on the page",""
"passed","Fri Apr 25 01:12:37 GMT 2025","Fri Apr 25 01:12:41 GMT 2025","3800","tests","footer_test","TestFooter","","","Verify clickability, href, prefix and subject, status code of links in the Footer",""
"passed","Fri Apr 25 01:05:53 GMT 2025","Fri Apr 25 01:05:53 GMT 2025","176","tests","description_page_test","TestDescriptionPage","","","Verify redirection to used resources page not authorized user.",""
"passed","Fri Apr 25 01:21:14 GMT 2025","Fri Apr 25 01:21:14 GMT 2025","264","tests","header_test","TestHeaderPage","","","Verify the dropdown opens/closes after clicking on the 'More' button in the Header 
               for an authorized user",""
"passed","Fri Apr 25 01:32:10 GMT 2025","Fri Apr 25 01:32:11 GMT 2025","79","tests","used_resources_page_test","TestURPage","","","Verify sizes of icons in sections",""
"passed","Fri Apr 25 01:15:46 GMT 2025","Fri Apr 25 01:15:49 GMT 2025","3166","tests","groups_page_test","TestGroupsPage","","","Verify composition, visibility of elements on the 1st-6th levels of nesting on the page",""
"passed","Fri Apr 25 01:07:52 GMT 2025","Fri Apr 25 01:07:53 GMT 2025","141","tests","exercises_ru_similar_phrases_page_test","TestExercisesRuSimilarPhrasesPage","","","Verify text in cards on the page",""
"passed","Fri Apr 25 01:05:19 GMT 2025","Fri Apr 25 01:05:19 GMT 2025","165","tests","description_page_test","TestDescriptionPage","","","Verify return main page from description page.",""
"passed","Fri Apr 25 01:24:55 GMT 2025","Fri Apr 25 01:24:56 GMT 2025","635","tests","specialists_page_test","TestSpecialistsPage","","","Verify clickability, href, status code of the 'All Specialists' link",""
"passed","Fri Apr 25 01:26:00 GMT 2025","Fri Apr 25 01:26:00 GMT 2025","149","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify that the 'Login' link leads to the correct page after clicking",""
"passed","Fri Apr 25 01:19:16 GMT 2025","Fri Apr 25 01:19:18 GMT 2025","1807","tests","header_test","TestHeaderPage","","","Verify if external links in the Header for an unauthorized user 
            lead to correct pages after click",""
"passed","Fri Apr 25 01:05:09 GMT 2025","Fri Apr 25 01:05:10 GMT 2025","832","tests","contributors_page_test","TestContributorsPage","","","Verify attribute values of images in contributors cards in grids",""
"passed","Fri Apr 25 01:08:33 GMT 2025","Fri Apr 25 01:08:36 GMT 2025","3237","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify composition, visibility of elements on the 1st-6th levels of nesting on the page",""
"passed","Fri Apr 25 01:05:38 GMT 2025","Fri Apr 25 01:05:39 GMT 2025","718","tests","description_page_test","TestDescriptionPage","","","Verify redirection to specialists page not authorized user.",""
"passed","Fri Apr 25 01:19:51 GMT 2025","Fri Apr 25 01:20:01 GMT 2025","10243","tests","header_test","TestHeaderPage","","","Verify composition, visibility of elements on the 1st-6th levels of nesting in the Header
            for an authorized user",""
"passed","Fri Apr 25 01:23:25 GMT 2025","Fri Apr 25 01:23:25 GMT 2025","800","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty first name",""
"passed","Fri Apr 25 01:18:36 GMT 2025","Fri Apr 25 01:18:46 GMT 2025","10210","tests","header_test","TestHeaderPage","","","Verify composition, visibility of elements on the 1st-6th levels of nesting in the Header
            for an unauthorized user",""
"passed","Fri Apr 25 01:08:02 GMT 2025","Fri Apr 25 01:08:04 GMT 2025","1920","tests","exercises_ru_similar_phrases_page_test","TestExercisesRuSimilarPhrasesPage","","","Verify clickability, href of links in breadcrumbs on the page",""
"passed","Fri Apr 25 01:22:25 GMT 2025","Fri Apr 25 01:22:26 GMT 2025","1176","tests","main_page_test","TestMainPage","","","Verify redirection to github not authorized user.",""
"passed","Fri Apr 25 01:25:39 GMT 2025","Fri Apr 25 01:25:39 GMT 2025","13","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify value of the title of the tab",""
"passed","Fri Apr 25 01:08:57 GMT 2025","Fri Apr 25 01:08:58 GMT 2025","286","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify value of the title of the tab",""
"passed","Fri Apr 25 01:10:31 GMT 2025","Fri Apr 25 01:10:35 GMT 2025","3443","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify if breadcrumbs link1 leads to the correct page after clicking",""
"passed","Fri Apr 25 01:16:43 GMT 2025","Fri Apr 25 01:17:09 GMT 2025","26636","tests","groups_page_test","TestGroupsPage","","","Verify clickability, title, href, status code of links on the page",""
"passed","Fri Apr 25 01:22:12 GMT 2025","Fri Apr 25 01:22:13 GMT 2025","1094","tests","main_page_test","TestMainPage","","","Verify redirection to donate page not authorized user.",""
"passed","Fri Apr 25 01:06:05 GMT 2025","Fri Apr 25 01:06:05 GMT 2025","71","tests","exercises_ru_similar_phrases_page_test","TestExercisesRuSimilarPhrasesPage","","","Verify presence and visibility of content on the page",""
"passed","Fri Apr 25 01:21:21 GMT 2025","Fri Apr 25 01:21:21 GMT 2025","202","tests","header_test","TestHeaderPage","","","Verify switching of the 'ru', 'en' buttons in the Header for an authorized user",""
"passed","Fri Apr 25 01:20:39 GMT 2025","Fri Apr 25 01:20:53 GMT 2025","14004","tests","header_test","TestHeaderPage","","","Verify if internal links in the Header for an authorized user 
            lead to correct pages after click",""
"passed","Fri Apr 25 01:25:55 GMT 2025","Fri Apr 25 01:25:56 GMT 2025","674","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify presence, visibility, clickability, href, status code 
                         of the 'Login' link in the section 1",""
"passed","Fri Apr 25 01:22:39 GMT 2025","Fri Apr 25 01:22:39 GMT 2025","110","tests","main_page_test","TestMainPage","","","Checking the clickability of the Start button.",""
"passed","Fri Apr 25 01:21:59 GMT 2025","Fri Apr 25 01:21:59 GMT 2025","3","tests","login_page_test","TestLoginPage","","","Test for authorization customer.",""
"passed","Fri Apr 25 01:21:00 GMT 2025","Fri Apr 25 01:21:02 GMT 2025","1836","tests","header_test","TestHeaderPage","","","Verify if external links in the Header for an authorized user 
            lead to correct pages after click",""
"passed","Fri Apr 25 01:26:08 GMT 2025","Fri Apr 25 01:26:08 GMT 2025","75","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify size of the image in the section 1",""
"passed","Fri Apr 25 01:04:12 GMT 2025","Fri Apr 25 01:04:13 GMT 2025","1473","tests","contacts_page_test","TestContactsPage","","","Verify if links in the section 2 lead to the correct pages after clicking",""
"passed","Fri Apr 25 01:05:43 GMT 2025","Fri Apr 25 01:05:45 GMT 2025","1937","tests","description_page_test","TestDescriptionPage","","","Verify redirection to github not authorized user.",""
"passed","Fri Apr 25 01:21:53 GMT 2025","Fri Apr 25 01:21:53 GMT 2025","56","tests","header_test","TestHeaderPage","","","Verify presence, visibility and attributes of the profile avatar in the Header 
               for an authorized user",""
"passed","Fri Apr 25 01:25:14 GMT 2025","Fri Apr 25 01:25:14 GMT 2025","114","tests","specialists_page_test","TestSpecialistsPage","","","Verify attributes of images in specialist cards in the grid",""
"passed","Fri Apr 25 01:07:12 GMT 2025","Fri Apr 25 01:07:12 GMT 2025","421","tests","exercises_ru_similar_phrases_page_test","TestExercisesRuSimilarPhrasesPage","","","Verify presence, visibility of lists on the page",""
"passed","Fri Apr 25 01:22:30 GMT 2025","Fri Apr 25 01:22:31 GMT 2025","706","tests","main_page_test","TestMainPage","","","Verify redirection to contributors page not authorized user.",""
"passed","Fri Apr 25 01:22:43 GMT 2025","Fri Apr 25 01:22:43 GMT 2025","424","tests","main_page_test","TestMainPage","","","Checking the domain is available",""
"passed","Fri Apr 25 01:31:43 GMT 2025","Fri Apr 25 01:31:43 GMT 2025","32","tests","used_resources_page_test","TestURPage","","","Verify content of the text on the page",""
"passed","Fri Apr 25 01:22:21 GMT 2025","Fri Apr 25 01:22:21 GMT 2025","675","tests","main_page_test","TestMainPage","","","Verify redirection to specialists page not authorized user.",""
"passed","Fri Apr 25 01:25:07 GMT 2025","Fri Apr 25 01:25:09 GMT 2025","1827","tests","specialists_page_test","TestSpecialistsPage","","","Verify that the 'All Specialists' link leads an authorized user 
                         to the correct page after clicking",""
"passed","Fri Apr 25 01:22:17 GMT 2025","Fri Apr 25 01:22:17 GMT 2025","183","tests","main_page_test","TestMainPage","","","Verify redirection to contacts page not authorized user.",""
"passed","Fri Apr 25 01:04:56 GMT 2025","Fri Apr 25 01:04:57 GMT 2025","447","tests","contributors_page_test","TestContributorsPage","","","Verify text in card links and the 'All Team' link",""
"passed","Fri Apr 25 01:10:55 GMT 2025","Fri Apr 25 01:10:55 GMT 2025","650","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify if breadcrumbs link3 leads to the correct page after clicking",""
"skipped","Fri Apr 25 01:26:14 GMT 2025","Fri Apr 25 01:26:35 GMT 2025","20175","tests","Speech exercises EN.","TestCardsEN","","","Select random card from ""Word"" group and compare UI vs BACKEND data",""
"skipped","Fri Apr 25 01:27:08 GMT 2025","Fri Apr 25 01:27:28 GMT 2025","20193","tests","Speech exercises EN.","TestCardsEN","","","Select a random card from ""Similar phrases"" group and compare UI vs BACKEND data",""
"passed","Fri Apr 25 01:09:17 GMT 2025","Fri Apr 25 01:09:17 GMT 2025","378","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify text in group links on the page",""
"passed","Fri Apr 25 01:11:57 GMT 2025","Fri Apr 25 01:11:58 GMT 2025","876","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify attributes of images in links on the page",""
"passed","Fri Apr 25 01:04:18 GMT 2025","Fri Apr 25 01:04:18 GMT 2025","110","tests","contacts_page_test","TestContactsPage","","","Verify that the email link calls an email client",""
"passed","Fri Apr 25 01:23:15 GMT 2025","Fri Apr 25 01:23:16 GMT 2025","801","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty confirm password",""
"passed","Fri Apr 25 01:31:59 GMT 2025","Fri Apr 25 01:32:00 GMT 2025","1049","tests","used_resources_page_test","TestURPage","","","Verify that links in the sections lead to the correct pages after clicking",""
"passed","Fri Apr 25 01:18:08 GMT 2025","Fri Apr 25 01:18:16 GMT 2025","8216","tests","groups_page_test","TestGroupsPage","","","Verify attributes of images in links on the page",""
"passed","Fri Apr 25 01:05:29 GMT 2025","Fri Apr 25 01:05:30 GMT 2025","1428","tests","description_page_test","TestDescriptionPage","","","Verify redirection to donate page not authorized user.",""
