"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 12 01:04:42 GMT 2024","Thu Dec 12 01:04:45 GMT 2024","2937","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify composition, visibility of elements on the 1st-6th levels of nesting on the page",""
"skipped","Thu Dec 12 01:16:47 GMT 2024","Thu Dec 12 01:17:07 GMT 2024","20233","tests","Speech exercises EN.","TestCardsEN","","","Select random card from ""Word"" group and compare UI vs BACKEND data",""
"passed","Thu Dec 12 01:04:32 GMT 2024","Thu Dec 12 01:04:32 GMT 2024","33","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify presence and visibility of content on the page",""
"passed","Thu Dec 12 01:08:56 GMT 2024","Thu Dec 12 01:09:02 GMT 2024","6065","tests","groups_page_test","TestGroupsPage","","","Verify sizes of images in links on the page",""
"passed","Thu Dec 12 01:16:14 GMT 2024","Thu Dec 12 01:16:14 GMT 2024","12","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify value of the title of the tab",""
"passed","Thu Dec 12 01:03:10 GMT 2024","Thu Dec 12 01:03:10 GMT 2024","46","tests","contributors_page_test","TestContributorsPage","","","Verify values of title and subtitles with tags h2, h3 on the page",""
"passed","Thu Dec 12 01:12:41 GMT 2024","Thu Dec 12 01:12:42 GMT 2024","1209","tests","main_page_test","TestMainPage","","","Verify redirection to telegram page not authorized user.",""
"passed","Thu Dec 12 01:12:13 GMT 2024","Thu Dec 12 01:12:13 GMT 2024","49","tests","header_test","TestHeaderPage","","","Verify size of the image in the 'Logo' link in the Header for an authorized user",""
"passed","Thu Dec 12 01:05:17 GMT 2024","Thu Dec 12 01:05:17 GMT 2024","162","tests","footer_test","TestFooter","","","Verify presence, visibility of text, links, images in the Footer",""
"passed","Thu Dec 12 01:16:36 GMT 2024","Thu Dec 12 01:16:36 GMT 2024","78","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify presence, visibility and attributes of the image in the section 1",""
"passed","Thu Dec 12 01:11:39 GMT 2024","Thu Dec 12 01:11:39 GMT 2024","84","tests","header_test","TestHeaderPage","","","Verify that the 'Logo' link on the Start Authorized Page 
                             doesn't refresh the current page or lead to other pages after clicking",""
"passed","Thu Dec 12 01:15:21 GMT 2024","Thu Dec 12 01:15:21 GMT 2024","108","tests","specialists_page_test","TestSpecialistsPage","","","Verify values of names and professions in specialist cards in the grid",""
"passed","Thu Dec 12 01:03:35 GMT 2024","Thu Dec 12 01:03:36 GMT 2024","826","tests","contributors_page_test","TestContributorsPage","","","Verify attribute values of images in contributors cards in grids",""
"passed","Thu Dec 12 01:16:17 GMT 2024","Thu Dec 12 01:16:18 GMT 2024","50","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify values of titles and subtitles with tags h2, h4 on the page",""
"passed","Thu Dec 12 01:18:25 GMT 2024","Thu Dec 12 01:18:36 GMT 2024","10981","tests","Речевые упражнения.","TestCardsRU","","","Select random card from group ""Слова Королёвой"" and compare UI vs BACKEND data.",""
"passed","Thu Dec 12 01:04:16 GMT 2024","Thu Dec 12 01:04:16 GMT 2024","191","tests","description_page_test","TestDescriptionPage","","","Verify redirection to used resources page not authorized user.",""
"passed","Thu Dec 12 01:03:27 GMT 2024","Thu Dec 12 01:03:27 GMT 2024","744","tests","contributors_page_test","TestContributorsPage","","","Verify clickability, href of links on the page",""
"passed","Thu Dec 12 01:06:41 GMT 2024","Thu Dec 12 01:06:49 GMT 2024","8171","tests","groups_page_test","TestGroupsPage","","","Verify value of the title of the tab",""
"passed","Thu Dec 12 01:05:06 GMT 2024","Thu Dec 12 01:05:06 GMT 2024","13","tests","exercises_ru_words_page_test","TestExercisesRuWordsPage","","","Verify value of the title of the tab",""
"passed","Thu Dec 12 01:14:16 GMT 2024","Thu Dec 12 01:14:16 GMT 2024","677","tests","registration_page_test","TestRegistrationPage","","","Check registration without choosing gender",""
"skipped","Thu Dec 12 01:17:14 GMT 2024","Thu Dec 12 01:17:34 GMT 2024","20219","tests","Speech exercises EN.","TestCardsEN","","","Check progres-bar and buttons.",""
"passed","Thu Dec 12 01:06:01 GMT 2024","Thu Dec 12 01:06:08 GMT 2024","7532","tests","footer_test","TestFooter","","","Verify Footer invisibility through the modal window with the exercise",""
"passed","Thu Dec 12 01:04:02 GMT 2024","Thu Dec 12 01:04:02 GMT 2024","704","tests","description_page_test","TestDescriptionPage","","","Verify redirection to specialists page not authorized user.",""
"passed","Thu Dec 12 01:22:15 GMT 2024","Thu Dec 12 01:22:15 GMT 2024","33","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify content of the text on the page",""
"passed","Thu Dec 12 01:06:56 GMT 2024","Thu Dec 12 01:07:12 GMT 2024","16378","tests","groups_page_test","TestGroupsPage","","","Verify value of the title and subtitles on the page",""
"passed","Thu Dec 12 01:09:06 GMT 2024","Thu Dec 12 01:09:06 GMT 2024","33","tests","header_test","TestHeaderPage","","","Verify presence and visibility of the Header for an unauthorized user",""
"passed","Thu Dec 12 01:12:20 GMT 2024","Thu Dec 12 01:12:20 GMT 2024","46","tests","header_test","TestHeaderPage","","","Verify presence, visibility, attributes of icons in the Header for an authorized user",""
"passed","Thu Dec 12 01:09:53 GMT 2024","Thu Dec 12 01:09:53 GMT 2024","140","tests","header_test","TestHeaderPage","","","Verify that the 'Logo' link on the Start Unauthorized Page 
                             doesn't refresh the current page or lead to other pages after clicking",""
