"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10284","Check statistic table.","tests","2026-06-26","skipped","2026-06-26","TestCardsRU","Statistic.","",""
"","2721","Verify presence, visibility of titles/subtitles, cards, descriptions, links, images on the page","tests","2026-06-26","passed","2026-06-26","TestContributorsPage","contributors_page_test","",""
"","1763","Verify if links on the 'en' local lead to correct pages after clicking","tests","2026-06-26","passed","2026-06-26","TestGroupsPage","groups_page_test","",""
"","13","Verify value of the title of the tab","tests","2026-06-26","passed","2026-06-26","TestURPage","used_resources_page_test","",""
"","142","Verify sizes of background-images in links on the page","tests","2026-06-26","passed","2026-06-26","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","1223","Checking the possibility of authorization with the correct data","tests","2026-06-26","passed","2026-06-26","TestAuthorizedUserPage","authorisation_page_test","",""
"","1251","Verify if breadcrumbs links lead to correct pages after clicking","tests","2026-06-26","passed","2026-06-26","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","161","Verify presence, visibility of lists on the page","tests","2026-06-26","passed","2026-06-26","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","2099","Verify redirection to github not authorized user.","tests","2026-06-26","passed","2026-06-26","TestMainPage","main_page_test","",""
"","1184","Verify redirection to telegram page not authorized user.","tests","2026-06-26","passed","2026-06-26","TestMainPage","main_page_test","",""
"","197","Verify redirection to contacts page not authorized user.","tests","2026-06-26","passed","2026-06-26","TestMainPage","main_page_test","",""
"","11","Verify value of the title of the tab","tests","2026-06-26","passed","2026-06-26","TestContributorsPage","contributors_page_test","",""
"","1229","Verify switching of the 'ru', 'en' buttons in the Header for an authorized user","tests","2026-06-26","passed","2026-06-26","TestHeaderPage","header_test","",""
"","155","Verify that the 'Logo' link on the Start Unauthorized Page 
                             doesn't refresh the current page or lead to other pages after clicking","tests","2026-06-26","passed","2026-06-26","TestHeaderPage","header_test","",""
"","160","Verify the composition and visibility of elements 
        on the 1st-5th levels of nesting in the section 2","tests","2026-06-26","passed","2026-06-26","TestContactsPage","contacts_page_test","",""
"","128","Verify presence, visibility of icons in the Header for an authorized user","tests","2026-06-26","passed","2026-06-26","TestHeaderPage","header_test","",""
"","2255","Verify clickability, href, prefix and subject, status code of links in the Footer","tests","2026-06-26","passed","2026-06-26","TestFooter","footer_test","",""
"","1341","Verify presence, visibility of lists on the page","tests","2026-06-26","passed","2026-06-26","TestExercisesRuWordsFamilyPage","exercises_ru_words_family_page_test","",""
"","104","Checking the clickability of the Start button.","tests","2026-06-26","passed","2026-06-26","TestMainPage","main_page_test","",""
