"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Verify value of title with tag 'h2' on the page","tests","Wed May 27 21:13:53 UTC 2026","passed","Wed May 27 21:13:53 UTC 2026","TestSpecialistsPage","specialists_page_test","",""
"","211","Verify values of the text in links, buttons in the Header for an unauthorized user","tests","Wed May 27 21:07:48 UTC 2026","passed","Wed May 27 21:07:49 UTC 2026","TestHeaderPage","header_test","",""
"","3489","Verify if group links lead to correct pages after clicking","tests","Wed May 27 21:01:08 UTC 2026","passed","Wed May 27 21:01:11 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","10264","Check statistic table.","tests","Wed May 27 21:18:28 UTC 2026","skipped","Wed May 27 21:18:38 UTC 2026","TestCardsRU","Statistic.","",""
"","37","Verify content of the text on the page","tests","Wed May 27 21:18:56 UTC 2026","passed","Wed May 27 21:18:56 UTC 2026","TestURPage","used_resources_page_test","",""
"","161","Verify presence, visibility of lists on the page","tests","Wed May 27 20:59:55 UTC 2026","passed","Wed May 27 20:59:55 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","1840","Verify if links in the section 2 lead to the correct pages after clicking","tests","Wed May 27 20:58:02 UTC 2026","passed","Wed May 27 20:58:04 UTC 2026","TestContactsPage","contacts_page_test","",""
"","12","Verify value of the title of the tab","tests","Wed May 27 21:13:49 UTC 2026","passed","Wed May 27 21:13:49 UTC 2026","TestSpecialistsPage","specialists_page_test","",""
"","2098","Verify that links in the sections lead to the correct pages after clicking","tests","Wed May 27 21:19:08 UTC 2026","passed","Wed May 27 21:19:10 UTC 2026","TestURPage","used_resources_page_test","",""
"","185","Verify redirection to used resources page not authorized user.","tests","Wed May 27 21:11:08 UTC 2026","passed","Wed May 27 21:11:09 UTC 2026","TestMainPage","main_page_test","",""
"","1695","Checking the possibility of authorization with the correct data","tests","Wed May 27 20:57:18 UTC 2026","passed","Wed May 27 20:57:19 UTC 2026","TestAuthorizedUserPage","authorisation_page_test","",""
"","44","Verify content of text in the Footer","tests","Wed May 27 21:05:02 UTC 2026","passed","Wed May 27 21:05:02 UTC 2026","TestFooter","footer_test","",""
"","260","Verify composition, visibility of elements on the 1st-6th levels of nesting in the Header
            for an unauthorized user","tests","Wed May 27 21:07:41 UTC 2026","passed","Wed May 27 21:07:41 UTC 2026","TestHeaderPage","header_test","",""
"","1293","Verify clickability, status code of links on the page","tests","Wed May 27 21:06:39 UTC 2026","passed","Wed May 27 21:06:41 UTC 2026","TestGroupsPage","groups_page_test","",""
"","258","Verify values of the text in links, buttons in the Header for an authorized user","tests","Wed May 27 21:08:46 UTC 2026","passed","Wed May 27 21:08:46 UTC 2026","TestHeaderPage","header_test","",""
"","1315","Verify sizes of images in contributor cards in grids","tests","Wed May 27 20:58:57 UTC 2026","passed","Wed May 27 20:58:59 UTC 2026","TestContributorsPage","contributors_page_test","",""
"","47","Verify attributes of images in links on the page","tests","Wed May 27 21:01:44 UTC 2026","passed","Wed May 27 21:01:44 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","711","Check registration with new email and empty password","tests","Wed May 27 21:12:08 UTC 2026","passed","Wed May 27 21:12:09 UTC 2026","TestRegistrationPage","registration_page_test","",""
"","10928","Select random card from group ""Слова"" and compare UI vs BACKEND data.","tests","Wed May 27 21:16:06 UTC 2026","skipped","Wed May 27 21:16:17 UTC 2026","TestCardsRU","Речевые упражнения.","",""
"","288","Verify if external links in the Header for an unauthorized user 
            lead to correct pages after click","tests","Wed May 27 21:08:07 UTC 2026","broken","Wed May 27 21:08:07 UTC 2026","TestHeaderPage","header_test","",""
