"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 28 07:23:53 GMT 2025","Mon Jul 28 07:23:54 GMT 2025","1252","tests","registration_page_test","TestRegistrationPage","","","Check registration with an existing email",""
"passed","Mon Jul 28 07:31:33 GMT 2025","Mon Jul 28 07:31:33 GMT 2025","37","tests","used_resources_page_test","TestURPage","","","Verify text in links in sections",""
"passed","Mon Jul 28 07:15:56 GMT 2025","Mon Jul 28 07:15:59 GMT 2025","3516","tests","footer_test","TestFooter","","","Verify Footer invisibility through the modal window with the exercise",""
"passed","Mon Jul 28 07:24:33 GMT 2025","Mon Jul 28 07:24:44 GMT 2025","10711","tests","registration_page_test","TestRegistrationPage","","","Check registration without choosing agreement",""
"passed","Mon Jul 28 07:28:10 GMT 2025","Mon Jul 28 07:28:19 GMT 2025","8978","tests","Речевые упражнения.","TestCardsRU","","","Select random card from group ""Слова"" and compare UI vs BACKEND data.",""
"passed","Mon Jul 28 07:25:52 GMT 2025","Mon Jul 28 07:25:54 GMT 2025","2412","tests","specialists_page_test","TestSpecialistsPage","","","Verify that the 'All Specialists' link leads an authorized user 
                         to the correct page after clicking",""
"passed","Mon Jul 28 07:22:23 GMT 2025","Mon Jul 28 07:22:23 GMT 2025","3","tests","login_page_test","TestLoginPage","","","Test for authorization customer.",""
"passed","Mon Jul 28 07:06:44 GMT 2025","Mon Jul 28 07:06:46 GMT 2025","1949","tests","description_page_test","TestDescriptionPage","","","Verify redirection to telegram page not authorized user.",""
"passed","Mon Jul 28 07:31:07 GMT 2025","Mon Jul 28 07:31:07 GMT 2025","29","tests","used_resources_page_test","TestURPage","","","Verify presence and visibility of content on the page",""
"passed","Mon Jul 28 07:16:43 GMT 2025","Mon Jul 28 07:16:43 GMT 2025","11","tests","groups_page_test","TestGroupsPage","","","Verify value of the 'en' title of the tab",""
"skipped","Mon Jul 28 07:27:53 GMT 2025","Mon Jul 28 07:28:03 GMT 2025","10420","tests","Speech exercises EN.","TestCardsEN","","","Select a random card from ""Similar phrases"" group and compare UI vs BACKEND data",""
"passed","Mon Jul 28 07:24:05 GMT 2025","Mon Jul 28 07:24:05 GMT 2025","737","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty password",""
"passed","Mon Jul 28 07:07:16 GMT 2025","Mon Jul 28 07:07:16 GMT 2025","699","tests","description_page_test","TestDescriptionPage","","","Verify redirection to contributors page not authorized user.",""
"passed","Mon Jul 28 07:06:32 GMT 2025","Mon Jul 28 07:06:33 GMT 2025","1343","tests","contributors_page_test","TestContributorsPage","","","Verify sizes of images in contributor cards in grids",""
"skipped","Mon Jul 28 07:27:17 GMT 2025","Mon Jul 28 07:27:27 GMT 2025","10401","tests","Speech exercises EN.","TestCardsEN","","","Select random card from ""Word"" group and compare UI vs BACKEND data",""
"passed","Mon Jul 28 07:17:08 GMT 2025","Mon Jul 28 07:17:08 GMT 2025","119","tests","groups_page_test","TestGroupsPage","","","Verify value of the 'ru' subtitles on the page",""
"passed","Mon Jul 28 07:24:49 GMT 2025","Mon Jul 28 07:24:49 GMT 2025","30","tests","specialists_page_test","TestSpecialistsPage","","","Verify presence and visibility of content on the page",""
