"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 00:56:00 GMT 2024","Wed May 29 00:56:00 GMT 2024","277","tests","header_test","TestHeaderPage","","","Verify the composition and visibility of elements on the 1-6th levels of the Header",""
"passed","Wed May 29 01:08:44 GMT 2024","Wed May 29 01:08:46 GMT 2024","1707","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility, clickability, href, status code, text of the 'Flora' link",""
"passed","Wed May 29 00:52:15 GMT 2024","Wed May 29 00:52:15 GMT 2024","147","tests","description_page_test","TestDescriptionPage","","","Verify redirection to used resources page not authorized user.",""
"passed","Wed May 29 00:54:40 GMT 2024","Wed May 29 00:54:48 GMT 2024","7575","tests","footer_test","TestFooter","","","Verify that the SELECTEL link in Footer leads to the correct page after click",""
"passed","Wed May 29 00:53:27 GMT 2024","Wed May 29 00:53:27 GMT 2024","80","tests","footer_test","TestFooter","","","Verify presence, visibility and accuracy of the Contact us link in Footer",""
"passed","Wed May 29 00:49:46 GMT 2024","Wed May 29 00:49:46 GMT 2024","56","tests","contacts_page_test","TestContactsPage","","","Verify presence, visibility and structure of content on the page",""
"passed","Wed May 29 00:49:51 GMT 2024","Wed May 29 00:49:51 GMT 2024","19","tests","contacts_page_test","TestContactsPage","","","Verify amount and visibility of sections with content on the page",""
"passed","Wed May 29 00:51:26 GMT 2024","Wed May 29 00:51:27 GMT 2024","653","tests","contributors_page_test","TestContributorsPage","","","Verify href, status code, text of the 'All Team' link on the page",""
"passed","Wed May 29 01:09:07 GMT 2024","Wed May 29 01:09:08 GMT 2024","816","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify sizes of the icon in the 'Flora' link's section",""
"passed","Wed May 29 00:56:23 GMT 2024","Wed May 29 00:56:24 GMT 2024","1351","tests","main_page_test","TestMainPage","","","Verify redirection to telegram page not authorized user.",""
"passed","Wed May 29 01:07:33 GMT 2024","Wed May 29 01:07:34 GMT 2024","1227","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility, clickability, href, status code, text of the 'Plants' link",""
"passed","Wed May 29 01:08:30 GMT 2024","Wed May 29 01:08:31 GMT 2024","818","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify sizes of the icon in the 'Plants' link's section",""
"passed","Wed May 29 00:52:48 GMT 2024","Wed May 29 00:52:51 GMT 2024","3049","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Wed May 29 00:58:56 GMT 2024","Wed May 29 00:58:56 GMT 2024","39","tests","specialists_page_test","TestSpecialistsPage","","","Verify presence, visibility and size of the grid on the Specialists page",""
"passed","Wed May 29 01:00:30 GMT 2024","Wed May 29 01:00:30 GMT 2024","36","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify values of the text in the section 1 on the page",""
"passed","Wed May 29 01:00:09 GMT 2024","Wed May 29 01:00:09 GMT 2024","23","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify amount and visibility of sections with content on the page",""
"passed","Wed May 29 00:52:36 GMT 2024","Wed May 29 00:52:39 GMT 2024","2765","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Wed May 29 00:59:28 GMT 2024","Wed May 29 00:59:28 GMT 2024","54","tests","specialists_page_test","TestSpecialistsPage","","","Verify values of names in specialist cards in the grid",""
"passed","Wed May 29 00:49:56 GMT 2024","Wed May 29 00:49:56 GMT 2024","23","tests","contacts_page_test","TestContactsPage","","","Verify the composition and visibility of elements on the 1st level of nesting in the section 1",""
"passed","Wed May 29 01:06:27 GMT 2024","Wed May 29 01:06:28 GMT 2024","834","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility and text accuracy of the title on the page",""
"passed","Wed May 29 00:53:41 GMT 2024","Wed May 29 00:53:43 GMT 2024","2262","tests","footer_test","TestFooter","","","Verify that the ARASAAC link in Footer leads to the correct page after click",""
"passed","Wed May 29 01:07:12 GMT 2024","Wed May 29 01:07:13 GMT 2024","818","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility and accuracy of the icon in the freepik.com link's section",""
"passed","Wed May 29 01:00:53 GMT 2024","Wed May 29 01:01:04 GMT 2024","10847","tests","Speech exercises EN.","TestCardsEN","","","Select random card from ""Word"" group and compare UI vs BACKEND data",""
"passed","Wed May 29 00:57:39 GMT 2024","Wed May 29 00:57:44 GMT 2024","4692","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email",""
"passed","Wed May 29 01:00:42 GMT 2024","Wed May 29 01:00:43 GMT 2024","868","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify presence, visibility, clickability, href, status code, text 
                         of the 'Login' link in the section 1 on the page",""
"passed","Wed May 29 00:52:56 GMT 2024","Wed May 29 00:52:59 GMT 2024","3063","tests","footer_test","TestFooter","","","Verify accuracy of texts in Footer on each page specified in the kit",""
"passed","Wed May 29 00:56:56 GMT 2024","Wed May 29 00:56:56 GMT 2024","79","tests","main_page_test","TestMainPage","","","Checking the clickability of the Start button.",""
"passed","Wed May 29 00:52:10 GMT 2024","Wed May 29 00:52:11 GMT 2024","641","tests","description_page_test","TestDescriptionPage","","","Verify redirection to contributors page not authorized user.",""
"passed","Wed May 29 00:50:51 GMT 2024","Wed May 29 00:50:52 GMT 2024","1370","tests","contributors_page_test","TestContributorsPage","","","Verify the composition and visibility of elements on the 1st, 2nd, 3rd, 4th levels of nesting in the section",""
"passed","Wed May 29 00:50:31 GMT 2024","Wed May 29 00:50:32 GMT 2024","815","tests","contacts_page_test","TestContactsPage","","","Verify presence, visibility, clickability, href, prefix, status code 
        of links in sections 1, 2 on the page",""
"passed","Wed May 29 01:06:41 GMT 2024","Wed May 29 01:06:42 GMT 2024","807","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence and visibility of the section with links on the page",""
"passed","Wed May 29 00:58:02 GMT 2024","Wed May 29 00:58:03 GMT 2024","614","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty first name",""
"passed","Wed May 29 00:52:52 GMT 2024","Wed May 29 00:52:55 GMT 2024","3021","tests","footer_test","TestFooter","","","Verify accuracy of texts in Footer on each page specified in the kit",""
"passed","Wed May 29 01:07:26 GMT 2024","Wed May 29 01:07:27 GMT 2024","799","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence and visibility of the section with the 'Plants' link on the page",""
"passed","Wed May 29 01:07:19 GMT 2024","Wed May 29 01:07:20 GMT 2024","810","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify sizes of the icon in the freepik.com link's section",""
"passed","Wed May 29 00:49:40 GMT 2024","Wed May 29 00:49:41 GMT 2024","847","tests","authorisation_page_test","TestAuthorizedUserPage","","","Checking the possibility of authorization with incorrect data",""
"passed","Wed May 29 00:51:30 GMT 2024","Wed May 29 00:51:31 GMT 2024","390","tests","contributors_page_test","TestContributorsPage","","","Verify presence and visibility of images in contributors cards in the grid",""
"passed","Wed May 29 00:59:44 GMT 2024","Wed May 29 00:59:49 GMT 2024","5251","tests","specialists_page_test","TestSpecialistsPage","","","Verify that the 'All Specialists' link leads an unauthorized user 
                         to the correct page after clicking",""
"passed","Wed May 29 01:00:17 GMT 2024","Wed May 29 01:00:17 GMT 2024","96","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify the composition and visibility of elements 
        on the 1st, 2nd, 3rd levels of nesting in the section 2",""
"passed","Wed May 29 00:52:16 GMT 2024","Wed May 29 00:52:19 GMT 2024","3133","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Wed May 29 01:01:25 GMT 2024","Wed May 29 01:01:33 GMT 2024","8277","tests","Speech exercises EN.","TestCardsEN","","","Select a random card from ""Similar phrases"" group and compare UI vs BACKEND data",""
"passed","Wed May 29 01:00:21 GMT 2024","Wed May 29 01:00:21 GMT 2024","23","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify values of titles with tag 'h2' on the page",""
"passed","Wed May 29 00:53:08 GMT 2024","Wed May 29 00:53:08 GMT 2024","233","tests","footer_test","TestFooter","","","Verify presence, visibility, clickability, href, status code of the EPAM link in Footer",""
"passed","Wed May 29 00:53:47 GMT 2024","Wed May 29 00:53:53 GMT 2024","5359","tests","footer_test","TestFooter","","","Verify that the EPAM link in Footer leads to the correct page after click",""
"passed","Wed May 29 00:57:04 GMT 2024","Wed May 29 00:57:35 GMT 2024","31020","tests","profile_page_test","TestProfilePage","","","Change the password by receiving an email link",""
"passed","Wed May 29 00:55:28 GMT 2024","Wed May 29 00:55:28 GMT 2024","78","tests","footer_test","TestFooter","","","Verify changes of visible sizes of the JETBRAINS link's image in Footer",""
"passed","Wed May 29 00:50:16 GMT 2024","Wed May 29 00:50:16 GMT 2024","23","tests","contacts_page_test","TestContactsPage","","","Verify values of subtitles with tag 'h2' on the page",""
"passed","Wed May 29 01:08:37 GMT 2024","Wed May 29 01:08:38 GMT 2024","806","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence and visibility of the section with the 'Flora' link on the page",""
"passed","Wed May 29 00:55:08 GMT 2024","Wed May 29 00:55:08 GMT 2024","65","tests","footer_test","TestFooter","","","Verify presence, visibility and accuracy of the EPAM link's image in Footer",""
"skipped","Wed May 29 01:03:29 GMT 2024","Wed May 29 01:04:40 GMT 2024","70813","tests","Речевые упражнения.","TestCardsRU","","","Solutions to a random task in the ""Слова"" .",""
"passed","Wed May 29 00:51:04 GMT 2024","Wed May 29 00:51:04 GMT 2024","28","tests","contributors_page_test","TestContributorsPage","","","Verify values of subtitles with tag 'h3' on the page",""
"passed","Wed May 29 00:58:07 GMT 2024","Wed May 29 00:58:07 GMT 2024","654","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty birthday",""
"passed","Wed May 29 00:56:52 GMT 2024","Wed May 29 00:56:52 GMT 2024","140","tests","main_page_test","TestMainPage","","","Verify redirection to used resources page not authorized user.",""
"passed","Wed May 29 01:08:23 GMT 2024","Wed May 29 01:08:24 GMT 2024","824","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility and accuracy of the icon in the 'Plants' link's section",""
"passed","Wed May 29 00:54:05 GMT 2024","Wed May 29 00:54:36 GMT 2024","30251","tests","footer_test","TestFooter","","","Verify that the REG.RU link in Footer leads to the correct page after click",""
