"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Test Used Resources Page","","","2","0","8","0","0"
"The Exercises 'Similar phrases' Page on the 'ru' local","","","0","0","9","0","0"
"The Contacts Page","","","0","0","11","0","0"
"The Groups Page","","","0","1","18","0","0"
"Test Header","","","0","2","26","0","0"
"Test Authorized User Page","","","0","0","2","0","0"
"Speech exercises.","","","0","0","1","12","0"
"The Contributors Page","","","0","0","12","0","0"
"The Exercises 'Words' Page on the 'ru' local","","","0","0","17","0","0"
"The Start Unauthorized Page","","","0","0","12","0","0"
"Main Page.","","","0","0","11","1","0"
"Test Specialists Page","","","0","1","12","0","0"
"Test Registration Page","","","0","0","9","0","0"
"Test Profile Page","","","0","0","1","0","0"
"Description Page.","","","0","0","8","0","0"
"Test Footer","","","0","0","11","0","0"
"Login Page.","","","0","0","1","0","0"
