"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3231","Verify if links on the 'en' local lead to correct pages after clicking","tests","Thu Dec 04 09:56:28 UTC 2025","passed","Thu Dec 04 09:56:31 UTC 2025","TestGroupsPage","groups_page_test","",""
"","1697","Verify clickability, href of links in breadcrumbs on the page","tests","Thu Dec 04 09:49:17 UTC 2025","passed","Thu Dec 04 09:49:18 UTC 2025","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","30","Verify presence and visibility of content on the page","tests","Thu Dec 04 10:01:45 UTC 2025","passed","Thu Dec 04 10:01:45 UTC 2025","TestSpecialistsPage","specialists_page_test","",""
"","96","Verify that the Logo link on the Start Authorized Page 
                             doesn't refresh the current page or lead to other pages after clicking","tests","Thu Dec 04 09:58:55 UTC 2025","passed","Thu Dec 04 09:58:55 UTC 2025","TestHeaderPage","header_test","",""
"","45","Verify presence, visibility, attributes of icons in the Header for an authorized user","tests","Thu Dec 04 09:59:32 UTC 2025","passed","Thu Dec 04 09:59:32 UTC 2025","TestHeaderPage","header_test","",""
"","152","Verify that the 'Login' link leads to the correct page after clicking","tests","Thu Dec 04 10:03:17 UTC 2025","passed","Thu Dec 04 10:03:17 UTC 2025","TestStartUnauthorizedPage","start_unauthorized_page_test","",""
"","43","Verify presence and visibility of the Footer","tests","Thu Dec 04 09:53:49 UTC 2025","passed","Thu Dec 04 09:53:49 UTC 2025","TestFooter","footer_test","",""
"","32","Verify presence and visibility of content on the page","tests","Thu Dec 04 10:06:57 UTC 2025","passed","Thu Dec 04 10:06:57 UTC 2025","TestURPage","used_resources_page_test","",""
"","1229","Check registration with an existing email","tests","Thu Dec 04 10:00:58 UTC 2025","passed","Thu Dec 04 10:00:59 UTC 2025","TestRegistrationPage","registration_page_test","",""
"","43","Verify content of the text in the section 2","tests","Thu Dec 04 09:46:18 UTC 2025","passed","Thu Dec 04 09:46:18 UTC 2025","TestContactsPage","contacts_page_test","",""
"","68","Verify sizes of images in links on the page","tests","Thu Dec 04 09:56:57 UTC 2025","passed","Thu Dec 04 09:56:57 UTC 2025","TestGroupsPage","groups_page_test","",""
"","85","Verify sizes of icons in sections","tests","Thu Dec 04 10:07:35 UTC 2025","passed","Thu Dec 04 10:07:35 UTC 2025","TestURPage","used_resources_page_test","",""
"","53","Verify size of the image in the Logo link in the Header on the Start Unauthorized Page","tests","Thu Dec 04 09:57:49 UTC 2025","passed","Thu Dec 04 09:57:49 UTC 2025","TestHeaderPage","header_test","",""
"","160","Verify composition, visibility of elements on the 1st-6th levels of nesting on the page","tests","Thu Dec 04 09:54:57 UTC 2025","passed","Thu Dec 04 09:54:57 UTC 2025","TestGroupsPage","groups_page_test","",""
"","30","Verify value of the breadcrumbs on the page","tests","Thu Dec 04 09:51:39 UTC 2025","passed","Thu Dec 04 09:51:39 UTC 2025","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","3443","Verify if group links lead to correct pages after clicking","tests","Thu Dec 04 09:50:02 UTC 2025","passed","Thu Dec 04 09:50:05 UTC 2025","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","118","Verify clickability, titles, attributes of group links on the page","tests","Thu Dec 04 09:49:28 UTC 2025","passed","Thu Dec 04 09:49:28 UTC 2025","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","202","Verify switching of the 'ru', 'en' buttons in the Header for an authorized user","tests","Thu Dec 04 09:59:07 UTC 2025","passed","Thu Dec 04 09:59:08 UTC 2025","TestHeaderPage","header_test","",""
"","1191","Verify redirection to telegram page not authorized user.","tests","Thu Dec 04 09:47:32 UTC 2025","passed","Thu Dec 04 09:47:34 UTC 2025","TestDescriptionPage","description_page_test","",""
"","136","Verify presence, visibility of text, links, images in the Footer","tests","Thu Dec 04 09:53:56 UTC 2025","passed","Thu Dec 04 09:53:56 UTC 2025","TestFooter","footer_test","",""
"","2734","Verify if breadcrumbs links lead to correct pages after clicking","tests","Thu Dec 04 09:49:50 UTC 2025","passed","Thu Dec 04 09:49:52 UTC 2025","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","122","Verify attributes of images in specialist cards in the grid","tests","Thu Dec 04 10:02:37 UTC 2025","passed","Thu Dec 04 10:02:37 UTC 2025","TestSpecialistsPage","specialists_page_test","",""
"","681","Verify redirection to contributors page not authorized user.","tests","Thu Dec 04 09:47:55 UTC 2025","passed","Thu Dec 04 09:47:56 UTC 2025","TestDescriptionPage","description_page_test","",""
"","47","Verify text in the 'Contact us' link in the Footer","tests","Thu Dec 04 09:54:03 UTC 2025","passed","Thu Dec 04 09:54:03 UTC 2025","TestFooter","footer_test","",""
"","135","Verify sizes of background-images in links on the page","tests","Thu Dec 04 09:50:39 UTC 2025","passed","Thu Dec 04 09:50:39 UTC 2025","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","23","Verify attribute 'src' of images in links on the page","tests","Thu Dec 04 09:56:38 UTC 2025","passed","Thu Dec 04 09:56:38 UTC 2025","TestGroupsPage","groups_page_test","",""
"","1375","Verify presence, visibility, clickability, href, status code of links in sections","tests","Thu Dec 04 10:07:19 UTC 2025","passed","Thu Dec 04 10:07:21 UTC 2025","TestURPage","used_resources_page_test","",""
"","22","Verify title of links on the 'ru' local","tests","Thu Dec 04 09:55:59 UTC 2025","passed","Thu Dec 04 09:55:59 UTC 2025","TestGroupsPage","groups_page_test","",""
"","23","Verify href of links on the 'ru' local","tests","Thu Dec 04 09:56:06 UTC 2025","passed","Thu Dec 04 09:56:06 UTC 2025","TestGroupsPage","groups_page_test","",""
"","2883","Verify if group links lead to correct pages after clicking","tests","Thu Dec 04 09:53:09 UTC 2025","passed","Thu Dec 04 09:53:12 UTC 2025","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","133","Verify the composition and visibility of elements 
        on the 1st-4th levels of nesting on the page","tests","Thu Dec 04 10:07:01 UTC 2025","passed","Thu Dec 04 10:07:01 UTC 2025","TestURPage","used_resources_page_test","",""
"","771","Verify clickability, status code of links on the page","tests","Thu Dec 04 09:55:51 UTC 2025","passed","Thu Dec 04 09:55:51 UTC 2025","TestGroupsPage","groups_page_test","",""
"","27","Verify presence and visibility of content on the page","tests","Thu Dec 04 09:54:50 UTC 2025","passed","Thu Dec 04 09:54:50 UTC 2025","TestGroupsPage","groups_page_test","",""
"","151","Verify the composition and visibility of elements 
        on the 1st-5th levels of nesting in the section 2","tests","Thu Dec 04 09:46:03 UTC 2025","passed","Thu Dec 04 09:46:03 UTC 2025","TestContactsPage","contacts_page_test","",""
"","39","Verify presence, visibility and structure of content on the page","tests","Thu Dec 04 09:46:38 UTC 2025","passed","Thu Dec 04 09:46:38 UTC 2025","TestContributorsPage","contributors_page_test","",""
"","126","Verify clickability, titles, attributes of group links on the page","tests","Thu Dec 04 09:52:18 UTC 2025","passed","Thu Dec 04 09:52:18 UTC 2025","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","43","Verify text in group links on the page","tests","Thu Dec 04 09:48:58 UTC 2025","passed","Thu Dec 04 09:48:58 UTC 2025","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","362","Verify presence, visibility of links, buttons in the Header for an unauthorized user","tests","Thu Dec 04 09:57:08 UTC 2025","passed","Thu Dec 04 09:57:08 UTC 2025","TestHeaderPage","header_test","",""
"","194","Verify redirection to contacts page not authorized user.","tests","Thu Dec 04 09:59:59 UTC 2025","passed","Thu Dec 04 10:00:00 UTC 2025","TestMainPage","main_page_test","",""
"","279","Verify text in cards on the page","tests","Thu Dec 04 09:51:57 UTC 2025","passed","Thu Dec 04 09:51:58 UTC 2025","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","10317","Solutions to a random task in the ""Слова"" .","tests","Thu Dec 04 10:05:54 UTC 2025","skipped","Thu Dec 04 10:06:04 UTC 2025","TestCardsRU","Речевые упражнения.","",""
"","1448","Verify clickability, href, status code of links in breadcrumbs on the page","tests","Thu Dec 04 09:52:07 UTC 2025","passed","Thu Dec 04 09:52:09 UTC 2025","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","12","Verify value of the title of the tab","tests","Thu Dec 04 10:01:59 UTC 2025","passed","Thu Dec 04 10:01:59 UTC 2025","TestSpecialistsPage","specialists_page_test","",""
"","206","Verify values of the text in links, buttons in the Header for an unauthorized user","tests","Thu Dec 04 09:57:12 UTC 2025","passed","Thu Dec 04 09:57:12 UTC 2025","TestHeaderPage","header_test","",""
"","10690","Check registration without choosing agreement","tests","Thu Dec 04 10:01:29 UTC 2025","passed","Thu Dec 04 10:01:40 UTC 2025","TestRegistrationPage","registration_page_test","",""
"","34","Verify value of title with tag 'h2' on the page","tests","Thu Dec 04 10:02:03 UTC 2025","passed","Thu Dec 04 10:02:03 UTC 2025","TestSpecialistsPage","specialists_page_test","",""
"","244","Verify composition and visibility of elements on the 1st-7th levels of nesting in the Footer","tests","Thu Dec 04 09:53:52 UTC 2025","passed","Thu Dec 04 09:53:52 UTC 2025","TestFooter","footer_test","",""
"","795","Verify values of the text in card descriptions","tests","Thu Dec 04 09:47:04 UTC 2025","passed","Thu Dec 04 09:47:04 UTC 2025","TestContributorsPage","contributors_page_test","",""
"","128","Verify sizes of images in links in the Footer","tests","Thu Dec 04 09:54:33 UTC 2025","passed","Thu Dec 04 09:54:34 UTC 2025","TestFooter","footer_test","",""
"","5640","Check registration with new email","tests","Thu Dec 04 10:00:49 UTC 2025","passed","Thu Dec 04 10:00:54 UTC 2025","TestRegistrationPage","registration_page_test","",""
"","33","Verify presence and visibility of the Header for an unauthorized user","tests","Thu Dec 04 09:57:00 UTC 2025","passed","Thu Dec 04 09:57:00 UTC 2025","TestHeaderPage","header_test","",""
"","5527","Verify clickability, href, status code of links in the Header for an authorized user","tests","Thu Dec 04 09:58:26 UTC 2025","passed","Thu Dec 04 09:58:31 UTC 2025","TestHeaderPage","header_test","",""
"","450","Verify presence, visibility, clickability, href, status code 
                         of the 'Login' link in the section 1","tests","Thu Dec 04 10:03:13 UTC 2025","passed","Thu Dec 04 10:03:13 UTC 2025","TestStartUnauthorizedPage","start_unauthorized_page_test","",""
"","684","Verify redirection to contributors page not authorized user.","tests","Thu Dec 04 10:00:13 UTC 2025","passed","Thu Dec 04 10:00:13 UTC 2025","TestMainPage","main_page_test","",""
"","1139","Checking the possibility of authorization with the correct data","tests","Thu Dec 04 09:45:45 UTC 2025","passed","Thu Dec 04 09:45:46 UTC 2025","TestAuthorizedUserPage","authorisation_page_test","",""
"","39","Verify values of title and subtitles with tags h2, h3 on the page","tests","Thu Dec 04 09:46:57 UTC 2025","passed","Thu Dec 04 09:46:57 UTC 2025","TestContributorsPage","contributors_page_test","",""
"","8352","Select random card from group ""Слова Королёвой"" and compare UI vs BACKEND data.","tests","Thu Dec 04 10:04:33 UTC 2025","passed","Thu Dec 04 10:04:41 UTC 2025","TestCardsRU","Речевые упражнения.","",""
"","10430","Check progres-bar and buttons.","tests","Thu Dec 04 10:03:46 UTC 2025","skipped","Thu Dec 04 10:03:56 UTC 2025","TestCardsEN","Speech exercises EN.","",""
"","37","Verify value of the 'ru' subtitles on the page","tests","Thu Dec 04 09:55:37 UTC 2025","passed","Thu Dec 04 09:55:37 UTC 2025","TestGroupsPage","groups_page_test","",""
"","18","Verify content of the text on the page","tests","Thu Dec 04 09:47:00 UTC 2025","passed","Thu Dec 04 09:47:00 UTC 2025","TestContributorsPage","contributors_page_test","",""
"","222","Verify switching of the 'ru', 'en' buttons in the Header on the Start Unauthorized Page","tests","Thu Dec 04 09:57:42 UTC 2025","passed","Thu Dec 04 09:57:42 UTC 2025","TestHeaderPage","header_test","",""
"","53","Verify size of the image in the 'Logo' link in the Header for an authorized user","tests","Thu Dec 04 09:59:26 UTC 2025","passed","Thu Dec 04 09:59:26 UTC 2025","TestHeaderPage","header_test","",""
"","34","Verify text in links in sections","tests","Thu Dec 04 10:07:16 UTC 2025","passed","Thu Dec 04 10:07:16 UTC 2025","TestURPage","used_resources_page_test","",""
"","2332","Verify if external links in the Header for an unauthorized user 
            lead to correct pages after click","tests","Thu Dec 04 09:57:29 UTC 2025","passed","Thu Dec 04 09:57:31 UTC 2025","TestHeaderPage","header_test","",""
"","254","Verify composition, visibility of elements on the 1st-6th levels of nesting in the Header
            for an unauthorized user","tests","Thu Dec 04 09:57:04 UTC 2025","passed","Thu Dec 04 09:57:04 UTC 2025","TestHeaderPage","header_test","",""
"","5870","Verify if series links lead to correct pages after clicking","tests","Thu Dec 04 09:50:14 UTC 2025","passed","Thu Dec 04 09:50:20 UTC 2025","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","10952","Verify that links in the Footer lead to correct pages after clicking","tests","Thu Dec 04 09:54:12 UTC 2025","passed","Thu Dec 04 09:54:23 UTC 2025","TestFooter","footer_test","",""
