"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 10:01:01 GMT 2024","Sun Jun 16 10:01:04 GMT 2024","3144","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email",""
"passed","Sun Jun 16 10:00:05 GMT 2024","Sun Jun 16 10:00:06 GMT 2024","1317","tests","main_page_test","TestMainPage","","","Verify redirection to telegram page not authorized user.",""
"passed","Sun Jun 16 10:02:17 GMT 2024","Sun Jun 16 10:02:17 GMT 2024","37","tests","specialists_page_test","TestSpecialistsPage","","","Verify presence, visibility and size of the grid on the Specialists page",""
"passed","Sun Jun 16 09:53:05 GMT 2024","Sun Jun 16 09:53:05 GMT 2024","19","tests","contacts_page_test","TestContactsPage","","","Verify amount and visibility of sections with content on the page",""
"passed","Sun Jun 16 10:00:01 GMT 2024","Sun Jun 16 10:00:01 GMT 2024","113","tests","main_page_test","TestMainPage","","","Verify redirection to description page not authorized user.",""
"passed","Sun Jun 16 10:01:32 GMT 2024","Sun Jun 16 10:01:33 GMT 2024","594","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty email",""
"passed","Sun Jun 16 10:05:33 GMT 2024","Sun Jun 16 10:05:43 GMT 2024","9813","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Похожие фразы"" group and compare UI vs BACKEND data.",""
"passed","Sun Jun 16 10:01:27 GMT 2024","Sun Jun 16 10:01:28 GMT 2024","616","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty birthday",""
"passed","Sun Jun 16 09:54:12 GMT 2024","Sun Jun 16 09:54:12 GMT 2024","38","tests","contributors_page_test","TestContributorsPage","","","Verify amount of contributor cards with images, links and descriptions in the section grid",""
"passed","Sun Jun 16 09:58:54 GMT 2024","Sun Jun 16 09:58:54 GMT 2024","78","tests","footer_test","TestFooter","","","Verify changes of visible sizes of the REG.RU link's image in Footer",""
"passed","Sun Jun 16 09:55:07 GMT 2024","Sun Jun 16 09:55:08 GMT 2024","1082","tests","description_page_test","TestDescriptionPage","","","Verify redirection to donate page not authorized user.",""
"passed","Sun Jun 16 09:55:40 GMT 2024","Sun Jun 16 09:55:43 GMT 2024","2970","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sun Jun 16 09:54:20 GMT 2024","Sun Jun 16 09:54:20 GMT 2024","28","tests","contributors_page_test","TestContributorsPage","","","Verify values of subtitles with tag 'h3' on the page",""
"passed","Sun Jun 16 09:54:32 GMT 2024","Sun Jun 16 09:54:33 GMT 2024","351","tests","contributors_page_test","TestContributorsPage","","","Verify text in links in card links",""
"passed","Sun Jun 16 10:00:38 GMT 2024","Sun Jun 16 10:00:38 GMT 2024","80","tests","main_page_test","TestMainPage","","","Checking the clickability of the Start button.",""
"passed","Sun Jun 16 09:56:08 GMT 2024","Sun Jun 16 09:56:12 GMT 2024","3060","tests","footer_test","TestFooter","","","Verify accuracy of texts in Footer on each page specified in the kit",""
"passed","Sun Jun 16 10:00:34 GMT 2024","Sun Jun 16 10:00:34 GMT 2024","136","tests","main_page_test","TestMainPage","","","Verify redirection to used resources page not authorized user.",""
"passed","Sun Jun 16 10:10:36 GMT 2024","Sun Jun 16 10:10:38 GMT 2024","1348","tests","Statistic.","TestCardsRU","","","Check statistic table.",""
"passed","Sun Jun 16 09:55:52 GMT 2024","Sun Jun 16 09:55:55 GMT 2024","3066","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sun Jun 16 09:55:31 GMT 2024","Sun Jun 16 09:55:31 GMT 2024","135","tests","description_page_test","TestDescriptionPage","","","Verify redirection to used resources page not authorized user.",""
"passed","Sun Jun 16 09:57:21 GMT 2024","Sun Jun 16 09:57:52 GMT 2024","30251","tests","footer_test","TestFooter","","","Verify that the REG.RU link in Footer leads to the correct page after click",""
"skipped","Sun Jun 16 10:10:24 GMT 2024","Sun Jun 16 10:10:30 GMT 2024","5710","tests","Речевые упражнения.","TestCardsRU","","","Solutions to a random task in the ""Слова"" group and comparison of statics.",""
"passed","Sun Jun 16 10:04:14 GMT 2024","Sun Jun 16 10:04:23 GMT 2024","9142","tests","Speech exercises EN.","TestCardsEN","","","Select random card from ""Word"" group and compare UI vs BACKEND data",""
"passed","Sun Jun 16 09:57:03 GMT 2024","Sun Jun 16 09:57:08 GMT 2024","5265","tests","footer_test","TestFooter","","","Verify that the EPAM link in Footer leads to the correct page after click",""
"passed","Sun Jun 16 09:58:38 GMT 2024","Sun Jun 16 09:58:38 GMT 2024","44","tests","footer_test","TestFooter","","","Verify visible sizes of the JETBRAINS link's image in Footer",""
"passed","Sun Jun 16 10:11:27 GMT 2024","Sun Jun 16 10:11:29 GMT 2024","2175","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility, clickability, href, status code of links in the sections",""
"passed","Sun Jun 16 09:58:50 GMT 2024","Sun Jun 16 09:58:50 GMT 2024","43","tests","footer_test","TestFooter","","","Verify visible sizes of the REG.RU link's image in Footer",""
"passed","Sun Jun 16 09:55:32 GMT 2024","Sun Jun 16 09:55:35 GMT 2024","3385","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sun Jun 16 10:05:19 GMT 2024","Sun Jun 16 10:05:27 GMT 2024","8089","tests","Речевые упражнения.","TestCardsRU","","","Select random card from group ""Слова Королёвой"" and compare UI vs BACKEND data.",""
"passed","Sun Jun 16 10:04:08 GMT 2024","Sun Jun 16 10:04:08 GMT 2024","117","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify that the 'Login' link leads to the correct page after clicking",""
"passed","Sun Jun 16 10:11:19 GMT 2024","Sun Jun 16 10:11:20 GMT 2024","774","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify values of the text in links in the sections",""
"passed","Sun Jun 16 10:01:08 GMT 2024","Sun Jun 16 10:01:10 GMT 2024","1132","tests","registration_page_test","TestRegistrationPage","","","Check registration with an existing email",""
"passed","Sun Jun 16 09:53:35 GMT 2024","Sun Jun 16 09:53:35 GMT 2024","28","tests","contacts_page_test","TestContactsPage","","","Verify values of the text in sections 1, 2 on the page",""
"passed","Sun Jun 16 10:06:20 GMT 2024","Sun Jun 16 10:06:29 GMT 2024","8543","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Слова с частотной группировкой"" group and compare UI vs BACKEND data.",""
"passed","Sun Jun 16 09:56:28 GMT 2024","Sun Jun 16 09:56:28 GMT 2024","191","tests","footer_test","TestFooter","","","Verify presence, visibility, clickability, href, status code of the JETBRAINS link in Footer",""
"passed","Sun Jun 16 09:55:36 GMT 2024","Sun Jun 16 09:55:39 GMT 2024","3019","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sun Jun 16 09:56:43 GMT 2024","Sun Jun 16 09:56:43 GMT 2024","81","tests","footer_test","TestFooter","","","Verify presence, visibility and accuracy of the Contact us link in Footer",""
"passed","Sun Jun 16 10:11:50 GMT 2024","Sun Jun 16 10:11:51 GMT 2024","822","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify sizes of icons in the sections",""
"passed","Sun Jun 16 10:01:22 GMT 2024","Sun Jun 16 10:01:23 GMT 2024","605","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty first name",""
"passed","Sun Jun 16 10:03:35 GMT 2024","Sun Jun 16 10:03:35 GMT 2024","80","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify the composition and visibility of elements 
        on the 1st-3rd levels of nesting in the section 1",""
"passed","Sun Jun 16 10:03:59 GMT 2024","Sun Jun 16 10:03:59 GMT 2024","92","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify attribute values and size of the image in the section 1 on the page",""
"passed","Sun Jun 16 09:59:27 GMT 2024","Sun Jun 16 09:59:27 GMT 2024","97","tests","header_test","TestHeaderPage","","","Verify that the 'Logo' link on the Start Unauthorized Page 
                             doesn't refresh the current page or lead to other pages after clicking",""
"passed","Sun Jun 16 09:52:54 GMT 2024","Sun Jun 16 09:52:55 GMT 2024","845","tests","authorisation_page_test","TestAuthorizedUserPage","","","Checking the possibility of authorization with incorrect data",""
"passed","Sun Jun 16 09:59:51 GMT 2024","Sun Jun 16 09:59:51 GMT 2024","23","tests","header_test","TestHeaderPage","","","Verify values of the text in the 'About' and the 'Telegram' links 
                          in the Section 2 in the Header",""
"passed","Sun Jun 16 09:54:37 GMT 2024","Sun Jun 16 09:54:38 GMT 2024","1077","tests","contributors_page_test","TestContributorsPage","","","Verify presence, visibility, clickability, href of links in the section",""
"passed","Sun Jun 16 09:54:51 GMT 2024","Sun Jun 16 09:54:53 GMT 2024","1431","tests","contributors_page_test","TestContributorsPage","","","Verify attribute values and sizes of images in contributors cards in the grid",""
"passed","Sun Jun 16 09:53:51 GMT 2024","Sun Jun 16 09:53:53 GMT 2024","1467","tests","contacts_page_test","TestContactsPage","","","Verify that links in sections 1, 2 lead to the correct pages after click",""
"passed","Sun Jun 16 09:56:33 GMT 2024","Sun Jun 16 09:56:33 GMT 2024","782","tests","footer_test","TestFooter","","","Verify presence, visibility, clickability, href, status code of the REG.RU link in Footer",""
"passed","Sun Jun 16 09:59:40 GMT 2024","Sun Jun 16 09:59:41 GMT 2024","1289","tests","header_test","TestHeaderPage","","","Verify presence, visibility, clickability, href, status code of the 'About' and the 'Telegram' links in the Section 2 in the Header",""
"passed","Sun Jun 16 09:57:12 GMT 2024","Sun Jun 16 09:57:17 GMT 2024","5358","tests","footer_test","TestFooter","","","Verify that the JETBRAINS link in Footer leads to the correct page after click",""
"passed","Sun Jun 16 10:00:10 GMT 2024","Sun Jun 16 10:00:11 GMT 2024","996","tests","main_page_test","TestMainPage","","","Verify redirection to donate page not authorized user.",""
"passed","Sun Jun 16 09:56:37 GMT 2024","Sun Jun 16 09:56:39 GMT 2024","1885","tests","footer_test","TestFooter","","","Verify presence, visibility, clickability, href, status code of the Selectel link in Footer",""
"passed","Sun Jun 16 09:58:05 GMT 2024","Sun Jun 16 09:58:05 GMT 2024","78","tests","footer_test","TestFooter","","","Verify that the Contact us link in Footer calls an email client",""
"passed","Sun Jun 16 09:54:42 GMT 2024","Sun Jun 16 09:54:43 GMT 2024","804","tests","contributors_page_test","TestContributorsPage","","","Verify href, status code, text of the 'All Team' link on the page",""
"passed","Sun Jun 16 10:03:39 GMT 2024","Sun Jun 16 10:03:39 GMT 2024","109","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify the composition and visibility of elements 
        on the 1st-3rd levels of nesting in the section 2",""
"passed","Sun Jun 16 10:04:03 GMT 2024","Sun Jun 16 10:04:04 GMT 2024","517","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify presence, visibility, clickability, href, status code, text 
                         of the 'Login' link in the section 1 on the page",""
"passed","Sun Jun 16 09:58:26 GMT 2024","Sun Jun 16 09:58:26 GMT 2024","44","tests","footer_test","TestFooter","","","Verify visible sizes of the EPAM link's image in Footer",""
"passed","Sun Jun 16 09:59:10 GMT 2024","Sun Jun 16 09:59:10 GMT 2024","30","tests","header_test","TestHeaderPage","","","Verify presence and visibility of content in the Header",""
"passed","Sun Jun 16 09:58:34 GMT 2024","Sun Jun 16 09:58:34 GMT 2024","67","tests","footer_test","TestFooter","","","Verify presence, visibility and accuracy of the JETBRAINS link's image in Footer",""
"passed","Sun Jun 16 09:54:01 GMT 2024","Sun Jun 16 09:54:01 GMT 2024","22","tests","contributors_page_test","TestContributorsPage","","","Verify amount and visibility of sections with content on the page",""
"passed","Sun Jun 16 09:54:28 GMT 2024","Sun Jun 16 09:54:28 GMT 2024","364","tests","contributors_page_test","TestContributorsPage","","","Verify values of the text in card descriptions",""
"passed","Sun Jun 16 09:59:36 GMT 2024","Sun Jun 16 09:59:36 GMT 2024","92","tests","header_test","TestHeaderPage","","","Verify presence, visibility, attributes and sizes of the 'Logo' image",""
"passed","Sun Jun 16 10:03:06 GMT 2024","Sun Jun 16 10:03:11 GMT 2024","5244","tests","specialists_page_test","TestSpecialistsPage","","","Verify that the 'All Specialists' link leads an unauthorized user 
                         to the correct page after clicking",""
"passed","Sun Jun 16 09:54:57 GMT 2024","Sun Jun 16 09:54:57 GMT 2024","99","tests","description_page_test","TestDescriptionPage","","","Verify return main page from description page.",""
"passed","Sun Jun 16 09:59:18 GMT 2024","Sun Jun 16 09:59:18 GMT 2024","36","tests","header_test","TestHeaderPage","","","Verify the section with the 'ru' and 'en' buttons in the Header",""
"passed","Sun Jun 16 10:02:07 GMT 2024","Sun Jun 16 10:02:07 GMT 2024","61","tests","specialists_page_test","TestSpecialistsPage","","","Verify presence, visibility and text accuracy of the title on the Specialists page",""
"passed","Sun Jun 16 10:02:44 GMT 2024","Sun Jun 16 10:02:44 GMT 2024","46","tests","specialists_page_test","TestSpecialistsPage","","","Verify presence and visibility of text sections (including names and professions) 
         in specialist cards in the grid",""
"passed","Sun Jun 16 10:02:12 GMT 2024","Sun Jun 16 10:02:12 GMT 2024","61","tests","specialists_page_test","TestSpecialistsPage","","","Verify presence, visibility and content accuracy of the text on the Specialists page",""
"passed","Sun Jun 16 10:10:51 GMT 2024","Sun Jun 16 10:10:52 GMT 2024","881","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify the composition and visibility of elements 
            on the 1st-4th levels of nesting on the page",""
"passed","Sun Jun 16 09:54:47 GMT 2024","Sun Jun 16 09:54:47 GMT 2024","374","tests","contributors_page_test","TestContributorsPage","","","Verify presence and visibility of images in contributors cards in the grid",""
"passed","Sun Jun 16 09:54:24 GMT 2024","Sun Jun 16 09:54:24 GMT 2024","17","tests","contributors_page_test","TestContributorsPage","","","Verify values of the text in the slogan on the page",""
"passed","Sun Jun 16 10:06:35 GMT 2024","Sun Jun 16 10:07:07 GMT 2024","31562","tests","Речевые упражнения.","TestCardsRU","","","Solutions to a random task in the ""Слова"" .",""
"passed","Sun Jun 16 09:55:48 GMT 2024","Sun Jun 16 09:55:51 GMT 2024","3206","tests","footer_test","TestFooter","","","Verify presence and visibility of Footer on each page specified in the kit",""
"passed","Sun Jun 16 09:59:45 GMT 2024","Sun Jun 16 09:59:47 GMT 2024","1436","tests","header_test","TestHeaderPage","","","Verify if the 'About' and the 'Telegram' links in the Section 2 
                          lead to the correct pages after click",""
"passed","Sun Jun 16 10:05:49 GMT 2024","Sun Jun 16 10:05:58 GMT 2024","8566","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Группа слов"" group and compare UI vs BACKEND data.",""
