"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"12","The Contributors Page","0","","0","0","","0"
"11","The Contacts Page","0","","0","0","","0"
"11","Test Footer","0","","0","0","","0"
"19","The Groups Page","0","","0","0","","0"
"35","Test Header","0","","0","3","","0"
"8","Description Page.","0","","0","0","","0"
"15","The Exercises 'Words' Page on the 'ru' local","0","","0","0","","0"
"5","The exercises subgroup 'Family' page in the series 'Words' on the 'ru' local","0","","0","0","","0"
"10","Main Page.","0","","0","0","","0"
"0","","1","","0","0","","0"
"2","Test Authorized User Page","0","","0","0","","0"
"15","The Exercises 'Similar phrases' Page on the 'ru' local","0","","0","0","","0"
"1","Login Page.","0","","0","0","","0"
